Rank,Strategy,Direction,TF,Entry,Exit,SL,TP,Opened,Closed,Close Reason,Raw Pips,Spread,Slippage,Net Pips,Gross $,Net $,Risk Pips,Reward Pips,R:R
209,CP_06_XAUUSD_H1,SELL,H1,5016.03,5011.36,5010.96,5000.03,2026-02-19T07:18:33,2026-02-19T08:14:31,sl_hit,46.7,12,2.0,32.7,4.67,3.15,50.7,160.0,3.16
210,MOM_04_XAUUSD_H1,BUY,H1,4930.27,4934.88,4935.69,4946.27,2026-02-18T07:00:25,2026-02-18T07:19:50,sl_hit,46.1,12,1.6,32.5,4.61,3.13,54.2,160.0,2.95
211,HARM_04_XAUUSD_H1,SELL,H1,4974.72,4970.21,4970.07,4958.72,2026-02-19T02:02:21,2026-02-19T02:21:29,sl_hit,45.1,12,0.7,32.4,4.51,3.12,46.5,160.0,3.44
212,MA_02_XAUUSD_H1,SELL,H1,4990.63,4986.17,4985.71,4974.63,2026-02-19T10:16:54,2026-02-19T10:32:39,sl_hit,44.6,12,0.6,32.0,4.46,3.08,49.2,160.0,3.25
213,ST_03_XAUUSD_H1,SELL,H1,4918.93,4914.37,4914.37,4902.93,2026-02-18T09:38:55,2026-02-18T10:56:45,sl_hit,45.6,12,1.6,32.0,4.56,3.08,45.6,160.0,3.51
214,ICH_02_XAUUSD_H1,SELL,H1,4918.93,4914.37,4914.37,4902.93,2026-02-18T09:38:55,2026-02-18T10:56:45,sl_hit,45.6,12,1.7,31.9,4.56,3.07,45.6,160.0,3.51
215,VTX_02_XAUUSD_H1,BUY,H1,4957.56,4962.04,4964.5,4973.56,2026-02-18T13:35:06,2026-02-18T13:38:29,sl_hit,44.8,12,1.0,31.8,4.48,3.06,69.4,160.0,2.31
216,ADX_01_XAUUSD_H1,BUY,H1,4974.26,4978.76,4979.04,4990.26,2026-02-19T02:09:07,2026-02-19T04:02:17,sl_hit,45.0,12,1.3,31.7,4.5,3.05,47.8,160.0,3.35
217,ICH_05_XAUUSD_H1,SELL,H1,4921.9,4917.47,4917.37,4905.9,2026-02-18T08:34:52,2026-02-18T09:08:30,sl_hit,44.3,12,0.7,31.6,4.43,3.04,45.3,160.0,3.53
218,CP_06_XAUUSD_H1,SELL,H1,4974.86,4970.47,4970.07,4958.86,2026-02-19T02:11:34,2026-02-19T02:21:30,sl_hit,43.9,12,0.8,31.1,4.39,2.99,47.9,160.0,3.34
219,EW_01_XAUUSD_H1,SELL,H1,4990.63,4986.17,4985.71,4974.63,2026-02-19T10:16:54,2026-02-19T10:32:39,sl_hit,44.6,12,1.8,30.8,4.46,2.96,49.2,160.0,3.25
220,PVT_03_XAUUSD_H1,SELL,H1,4921.9,4917.47,4917.37,4905.9,2026-02-18T08:34:53,2026-02-18T09:08:30,sl_hit,44.3,12,1.5,30.8,4.43,2.96,45.3,160.0,3.53
221,ICH_04_XAUUSD_H1,BUY,H1,4984.76,4989.2,4991.61,5000.76,2026-02-18T18:49:52,2026-02-18T19:26:17,sl_hit,44.4,12,1.7,30.7,4.44,2.95,68.5,160.0,2.34
222,MOM_01_XAUUSD_H1,BUY,H1,4984.76,4989.1,4991.61,5000.76,2026-02-18T18:49:52,2026-02-18T19:26:16,sl_hit,43.4,12,0.7,30.7,4.34,2.95,68.5,160.0,2.34
223,PVT_01_XAUUSD_H1,SELL,H1,4974.86,4970.41,4970.07,4958.86,2026-02-19T02:06:38,2026-02-19T02:21:29,sl_hit,44.5,12,1.9,30.6,4.45,2.94,47.9,160.0,3.34
224,FIB_07_XAUUSD_H1,SELL,H1,5006.06,5001.68,5001.15,4990.06,2026-02-18T15:24:15,2026-02-18T15:41:10,sl_hit,43.8,12,1.5,30.3,4.38,2.91,49.1,160.0,3.26
225,FIB_01_XAUUSD_H1,SELL,H1,4918.64,4914.37,4914.37,4902.64,2026-02-18T09:37:08,2026-02-18T10:56:45,sl_hit,42.7,12,0.6,30.1,4.27,2.89,42.7,160.0,3.75
226,MA_06_XAUUSD_H1,SELL,H1,4974.86,4970.47,4970.07,4958.86,2026-02-19T02:11:34,2026-02-19T02:21:30,sl_hit,43.9,12,1.9,30.0,4.39,2.88,47.9,160.0,3.34
227,PA_06_XAUUSD_H1,BUY,H1,4964.87,4969.11,4969.27,4980.87,2026-02-19T00:09:43,2026-02-19T00:41:51,sl_hit,42.4,12,0.5,29.9,4.24,2.87,44.0,160.0,3.64
228,SM_10_XAUUSD_H1,BUY,H1,4964.87,4969.11,4969.27,4980.87,2026-02-19T00:09:44,2026-02-19T00:41:51,sl_hit,42.4,12,0.6,29.8,4.24,2.86,44.0,160.0,3.64
229,PVT_01_XAUUSD_H1,BUY,H1,4928.22,4932.46,4932.48,4944.22,2026-02-18T06:36:47,2026-02-18T06:58:43,sl_hit,42.4,12,0.7,29.7,4.24,2.85,42.6,160.0,3.76
230,DIV_06_XAUUSD_H1,SELL,H1,5004.41,5000.15,5000.09,4988.41,2026-02-18T16:53:27,2026-02-18T17:22:23,sl_hit,42.6,12,1.8,28.8,4.26,2.76,43.2,160.0,3.7
231,VOL_07_XAUUSD_H1,BUY,H1,4971.5,4975.65,4976.47,4987.5,2026-02-18T23:09:30,2026-02-18T23:13:34,sl_hit,41.5,12,1.5,28.0,4.15,2.68,49.7,160.0,3.22
232,SRSI_05_XAUUSD_H1,SELL,H1,4918.45,4914.37,4914.37,4902.45,2026-02-18T09:36:14,2026-02-18T10:56:45,sl_hit,40.8,12,1.0,27.8,4.08,2.66,40.8,160.0,3.92
233,MACD_04_XAUUSD_H1,BUY,H1,4971.5,4975.64,4976.47,4987.5,2026-02-18T23:09:30,2026-02-18T23:13:34,sl_hit,41.4,12,1.7,27.7,4.14,2.65,49.7,160.0,3.22
234,FIB_08_XAUUSD_H1,SELL,H1,4918.45,4914.37,4914.37,4902.45,2026-02-18T09:03:21,2026-02-18T10:56:45,sl_hit,40.8,12,1.2,27.6,4.08,2.64,40.8,160.0,3.92
235,VOL_03_XAUUSD_H1,BUY,H1,4965.03,4969.1,4969.27,4981.03,2026-02-19T00:08:06,2026-02-19T00:41:51,sl_hit,40.7,12,1.2,27.5,4.07,2.63,42.4,160.0,3.77
236,MA_06_XAUUSD_H1,SELL,H1,4990.25,4986.18,4985.66,4974.25,2026-02-19T10:20:31,2026-02-19T10:32:40,sl_hit,40.7,12,1.3,27.4,4.07,2.62,45.9,160.0,3.49
