Rank,Strategy,Dir,TF,Entry,Exit,SL,TP,Opened,Closed,Reason,Raw Pips,Net Pips,Net $,R:R
268,MACD_04_BTCUSD_H1,SELL,H1,67132.18,66866.68,66684.23,66132.18,2026-02-18T16:59:28,2026-02-18T18:23:25,sl_hit,265.5,213.6,2.016,2.23
269,MTF_03_BTCUSD_H1,BUY,H1,66957.86,67223.2,67235.58,67957.86,2026-02-19T03:30:27,2026-02-19T07:24:25,sl_hit,265.3,213.6,2.0164,3.6
270,MOM_01_BTCUSD_H1,BUY,H1,66875.67,67139.33,67143.41,67875.67,2026-02-19T08:35:42,2026-02-19T09:25:24,sl_hit,263.7,212.8,2.0076,3.73
271,CCI_01_BTCUSD_H1,BUY,H1,66447.55,66710.6,66734.13,67447.55,2026-02-19T00:04:46,2026-02-19T01:37:27,sl_hit,263.1,212.5,2.0045,3.49
272,ST_03_BTCUSD_H1,SELL,H1,67123.66,66859.92,66684.23,66123.66,2026-02-18T16:51:47,2026-02-18T18:23:25,sl_hit,263.7,212.2,2.0024,2.28
273,MTF_01_BTCUSD_H1,SELL,H1,67123.66,66860.5,66684.23,66123.66,2026-02-18T16:51:47,2026-02-18T18:23:25,sl_hit,263.2,211.8,1.9976,2.28
274,SRSI_01_BTCUSD_H1,BUY,H1,66430.56,66692.83,66708.43,67430.56,2026-02-19T00:01:22,2026-02-19T01:16:09,sl_hit,262.3,211.0,1.9897,3.6
275,VOL_03_BTCUSD_H1,BUY,H1,67149.59,67411.76,67414.72,68149.59,2026-02-18T16:11:37,2026-02-18T17:08:40,sl_hit,262.2,210.8,1.9877,3.77
276,MACD_05_BTCUSD_H1,BUY,H1,66430.56,66692.81,66708.43,67430.56,2026-02-19T00:01:23,2026-02-19T01:16:09,sl_hit,262.2,210.4,1.9845,3.6
277,MA_11_BTCUSD_H1,SELL,H1,67125.88,66864.96,66687.07,66125.88,2026-02-18T17:52:16,2026-02-18T18:23:26,sl_hit,260.9,210.0,1.9802,2.28
278,STOCH_04_BTCUSD_H1,BUY,H1,66449.79,66710.6,66734.13,67449.79,2026-02-18T23:01:31,2026-02-19T01:37:27,sl_hit,260.8,209.7,1.9771,3.52
279,RSI_09_BTCUSD_H1,SELL,H1,66420.7,66160.55,66092.27,65420.7,2026-02-19T15:10:29,2026-02-19T15:15:43,sl_hit,260.1,209.1,1.9715,3.04
280,DIV_02_BTCUSD_H1,SELL,H1,66420.7,66160.55,66092.27,65420.7,2026-02-19T15:10:29,2026-02-19T15:15:43,sl_hit,260.1,209.0,1.9705,3.04
